,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
1,Alabama A & M University,AL,1405,400,410,823,7079,9063,7182,12774,1,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6314,0.8204,0.2914,35300,31400,0.8856
2,University of Alabama at Birmingham,AL,1354,585,580,1146,10170,9033,7206,16398,1,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8016,0.5397,0.5377,46300,40300,0.9106
4,University of Alabama in Huntsville,AL,1213,580,575,1180,9341,8322,9192,21506,1,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,0.488624612,0.132368149,0.140124095,0.131851086,0.107032058,0.8098,0.4728,0.4835,52700,46600,0.6555
5,Alabama State University,AL,383,425,430,830,6557,7813,8720,15656,1,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,0.688963211,0.159141583,0.077201784,0.047658863,0.02703456,0.6219,0.8735,0.2517,30700,27800,0.6641
6,The University of Alabama,AL,499,570,555,1171,9605,12198,9450,23950,1,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,0.302561681,0.133396293,0.146263723,0.150749616,0.267028686,0.87,0.4148,0.6665,49100,42400,0.7109
10,Auburn University,AL,1264,595,570,1215,9429,13186,9852,26364,1,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0127,0.27736704,0.118769378,0.144765085,0.163367517,0.29573098,0.8946,0.361,0.6792,52100,45400,0.878
11,Birmingham Southern College,AL,712,580,575,1177,7513,11928,30690,30690,2,1181,0.8103,0.094,0.0305,0.039,0.0102,0,0.0076,0,0.0085,0.227488152,0.130331754,0.161137441,0.191943128,0.289099526,0.8037,0.4939,0.6192,45300,41900,0.6479
24,Huntingdon College,AL,673,480,460,999,6027,9074,23500,23500,2,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,0.401098901,0.168956044,0.153846154,0.130494506,0.145604396,0.6196,0.7227,0.4319,40300,37100,0.4083
27,Jacksonville State University,AL,1280,480,485,1036,6857,6192,7092,13884,1,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,0.0246,0.470516717,0.172948328,0.160486322,0.122492401,0.073556231,0.7112,0.6811,0.3083,36600,35100,0.6516
31,Judson College,AL,1014,550,595,1023,5638,7626,15630,15630,2,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,0.492537313,0.189054726,0.184079602,PrivacySuppressed,PrivacySuppressed,0.5974,0.711,0.4051,33800,30700,1
37,University of Mobile,AL,923,575,540,1058,5024,10339,18690,18690,2,1472,0.6461,0.216,0.0122,0.0095,0.0163,0.0007,0.017,0.0306,0.0516,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7727,0.8009,0.4904,40900,37800,1
38,University of Montevallo,AL,1362,508,554,1070,7035,7161,10000,19690,1,2610,0.7368,0.1398,0.023,0.0065,0.0069,0.0011,0.018,0.0134,0.0544,0.415029889,0.145175064,0.175064048,0.148590948,0.116140051,0.7365,0.5872,0.4493,36300,35100,0.5951
40,University of North Alabama,AL,1218,482,489,1028,7152,6530,7078,12670,1,5536,0.715,0.1384,0.0246,0.0038,0.0112,0.0011,0.0208,0.0495,0.0358,0.438271605,0.177777778,0.163374486,0.130452675,0.090123457,0.7079,0.6883,0.3216,39500,36300,0.9882
42,Oakwood University,AL,141,455,462,924,5307,11909,16234,16234,2,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0291,0.438325991,0.174008811,0.162995595,0.124449339,0.100220264,0.7876,0.7411,0.3632,38800,33700,1
47,Samford University,AL,1122,560,565,1153,8261,17548,26328,26328,2,2995,0.8114,0.0664,0.0664,0.008,0.003,0.0007,0.01,0.0304,0.0037,0.238329238,0.108108108,0.167076167,0.16953317,0.316953317,0.8673,0.3653,0.692,57900,45800,0.9939
51,University of South Alabama,AL,1340,500,495,1064,7212,6914,6948,13596,1,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.0137,0.477874396,0.161352657,0.141449275,0.121932367,0.097391304,0.6787,0.5549,0.3342,45200,38300,0.6418
52,Spring Hill College,AL,288,540,540,1100,6057,10653,30924,30924,2,1269,0.6643,0.1608,0.0875,0.0071,0.0063,0,0.0236,0.0134,0.037,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7559,0.6564,0.5632,50000,43800,0.597
54,Stillman College,AL,235,411,400,882,4743,10367,15901,15901,2,863,0.0626,0.9224,0.0104,0.0023,0,0,0,0,0.0023,0.706689537,0.137221269,0.066895369,0.05831904,0.030874786,0.6123,0.8145,0.2619,27900,24700,1
63,Tuskegee University,AL,147,460,455,937,6679,14071,18900,18900,2,2584,0.0019,0.7752,0.0019,0.0008,0.0004,0,0,0.0031,0.2167,0.49348659,0.182375479,0.1348659,0.100383142,0.088888889,0.7242,0.7374,0.4384,42500,37100,0.9685
70,Alaska Pacific University,AK,174,480,520,1008,5137,13615,29810,29810,2,340,0.5441,0.0294,0.0353,0.0176,0.1706,0.0059,0.0971,0,0.1,0.405405405,0.155405405,0.182432432,0.121621622,0.135135135,0.6667,0.4587,0.3902,49300,47400,1
90,Arizona State University-Tempe,AZ,1097,585,560,1108,10405,11705,9861,23654,1,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0066,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.844,0.4784,0.5947,52400,45200,0.8787
92,University of Arizona,AZ,1120,565,542,1106,10320,12051,10391,27383,1,31399,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.0104,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8148,0.3962,0.6139,53100,44400,0.7478
104,Embry-Riddle Aeronautical University-Prescott,AZ,1150,595,565,1126,8387,35302,31034,31034,2,1802,0.6016,0.0172,0.0755,0.0494,0.0055,0.0061,0.076,0.0855,0.0832,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.828,0.5596,0.5915,65500,60900,0.7018
118,Northern Arizona University,AZ,1426,525,525,1050,7863,6697,9738,22093,1,22011,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.0063,0.406508549,0.178433536,0.148924435,0.119323405,0.146810075,0.7178,0.5571,0.4924,43200,38800,0.6172
127,Prescott College,AZ,990,510,560,1094,4248,14975,29732,29732,2,540,0.7296,0.0148,0.0574,0.0111,0.0204,0,0.0389,0.0111,0.1167,0.567765568,0.124542125,0.128205128,0.073260073,0.106227106,0.7344,0.6478,0.3768,35800,35200,0.6932
134,Arizona Christian University,AZ,627,528,510,1045,4617,10013,21832,21832,2,491,0.5906,0.0509,0.1426,0.0143,0.0081,0.002,0.0346,0.0244,0.1324,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6809,0.5183,0.4737,30700,31000,0.2051
140,University of Arkansas at Little Rock,AR,415,445,420,1077,7480,6265,7094,16871,1,8504,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,0.0642,0.0293,0.0005,0.588049551,0.150595094,0.131649259,0.081612825,0.048093272,0.6973,0.4818,0.2438,38200,34800,1
146,Lyon College,AR,573,575,535,1142,6354,9863,23594,23594,2,570,0.7737,0.0421,0.0509,0.0123,0.0193,0,0,0.0298,0.0719,0.380952381,0.171428571,0.177777778,0.155555556,0.114285714,0.6981,0.6867,0.4965,41200,37200,0.7069
150,University of Arkansas,AR,559,575,550,1156,8902,6624,7818,19074,1,20776,0.7874,0.0492,0.0644,0.0237,0.012,0.0007,0.0321,0.0276,0.0028,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.821,0.4084,0.601,49200,43600,0.8663
151,University of Arkansas at Pine Bluff,AR,83,421,380,842,5341,2277,5938,11638,1,2503,0.0416,0.9301,0.012,0.0024,0.0016,0,0.0004,0.0072,0.0048,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5621,0.7276,0.2583,30700,27400,0.8326
153,Arkansas State University-Main Campus,AR,1073,503,463,1088,6957,3527,7510,13120,1,9325,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,0.0166,0.0604,0.0139,0.527067015,0.185552655,0.14151436,0.095909487,0.049956484,0.7312,0.5289,0.3698,36400,32700,0.743
154,Arkansas Tech University,AR,1318,465,430,1008,6096,3247,5598,10374,1,8734,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,0.0226,0.0332,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6937,0.4734,0.4025,38200,35000,1
160,Central Baptist College,AR,440,570,510,974,4948,8457,13350,13350,2,769,0.7035,0.2211,0.0221,0.0013,0.0091,0.0013,0.0143,0.0273,0,0.466244726,0.160337553,0.17721519,0.120253165,0.075949367,0.6731,0.5745,0.3874,38800,35700,0.4028
169,Harding University,AR,1098,560,560,1139,7082,11636,16170,16170,2,4428,0.8347,0.0379,0.0294,0.0068,0.0079,0.0007,0.0133,0.0657,0.0036,0.255081967,0.135737705,0.199344262,0.186885246,0.22295082,0.8234,0.5573,0.6219,43900,38600,0.7364
171,Henderson State University,AR,662,540,499,1011,5606,2994,7580,13700,1,3190,0.6583,0.2367,0.0348,0.0066,0.0025,0,0.0511,0.0094,0.0006,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5716,0.5985,0.2854,38300,35200,1
172,Hendrix College,AR,1205,595,605,1267,7233,12547,37816,37816,2,1428,0.7143,0.0448,0.0469,0.0518,0.0217,0,0.0189,0.0364,0.0651,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.878,0.4487,0.6959,44500,40500,0.6778
175,John Brown University,AR,888,573,570,1144,6425,9545,22734,22734,2,1770,0.8017,0.0209,0.0525,0.009,0.0119,0.0006,0.0322,0.0667,0.0045,0.333333333,0.199522103,0.200716846,0.143369176,0.123058542,0.8239,0.5333,0.6537,56400,46200,0.9766
189,Ouachita Baptist University,AR,900,520,495,1090,4598,10088,22370,22370,2,1513,0.8434,0.08,0.039,0.0106,0.0066,0.0013,0,0.0192,0,0.262385321,0.152293578,0.196330275,0.190825688,0.198165138,0.7631,0.5033,0.6022,41200,37500,1
192,University of the Ozarks,AR,645,500,485,1057,5489,11980,24350,24350,2,568,0.6831,0.0546,0.0915,0,0.0088,0.0018,0.0387,0.1092,0.0123,0.420408163,0.187755102,0.175510204,0.151020408,0.065306122,0.6943,0.4826,0.4831,33400,31100,1
204,Williams Baptist College,AR,827,460,390,1001,5359,7323,13750,13750,2,501,0.8802,0.0659,0.02,0,0.008,0,0,0.0259,0,0.412844037,0.201834862,0.180428135,0.131498471,0.073394495,0.5878,0.6307,0.3985,35400,32300,1
206,Southern Arkansas University Main Campus,AR,629,510,465,989,6077,3465,7466,10616,1,2640,0.6432,0.283,0.0216,0.0072,0.0057,0.0072,0,0.0314,0.0008,0.575757576,0.191489362,0.116054159,0.067698259,0.049000645,0.6433,0.5054,0.2973,39300,35900,0.6831
209,University of Arkansas-Fort Smith,AR,521,525,445,1028,6658,2204,4528,10072,1,6508,0.7409,0.0458,0.0748,0.0444,0.0307,0.0006,0.0516,0.0111,0,0.590650285,0.182499251,0.130955949,0.064429128,0.031465388,0.6217,0.4018,0.2291,33100,29900,0.5407
229,Azusa Pacific University,CA,1191,550,545,1098,9231,18430,32256,32256,2,6543,0.4966,0.0474,0.2306,0.0827,0.0035,0.0079,0.0573,0.0185,0.0555,0.345990566,0.147641509,0.181603774,0.151179245,0.173584906,0.8228,0.5697,0.6486,52200,49000,0.4597
234,Biola University,CA,989,562,560,1123,8924,20770,32142,32142,2,4324,0.5481,0.0197,0.1714,0.1589,0.0023,0.0035,0.0624,0.018,0.0157,0.276544691,0.137372526,0.173365327,0.159568086,0.25314937,0.8501,0.7762,0.6819,46800,40700,0.9883
242,California Baptist University,CA,1170,490,490,984,8355,18014,28122,28122,2,5797,0.448,0.084,0.3012,0.0497,0.0071,0.0098,0.0285,0.0191,0.0526,0.393788131,0.164725458,0.159179146,0.133943428,0.148363838,0.7683,0.7734,0.5808,44200,41800,0.4779
245,California Institute of Technology,CA,15,785,760,1534,16120,15679,41538,41538,2,977,0.304,0.0174,0.1003,0.4248,0.0031,0,0.0594,0.089,0.002,0.147058824,0.123529412,0.141176471,0.188235294,0.4,0.9659,0.2508,0.9307,95000,74000,0.957
246,California Lutheran University,CA,320,562,545,1108,9597,17980,35720,35720,2,2882,0.5232,0.0427,0.2523,0.0642,0.0135,0.0087,0.0173,0.0382,0.0399,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8477,0.556,0.7005,55700,52900,1
247,California Polytechnic State University-San Luis Obispo,CA,111,640,600,1242,8675,7908,8724,19884,1,18664,0.5956,0.0076,0.1489,0.1134,0.0024,0.0027,0.0672,0.0128,0.0496,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9249,0.3482,0.6972,66000,60900,0.6858
254,California State University-Bakersfield,CA,771,460,445,901,8122,3182,6775,17935,1,7226,0.196,0.0656,0.4979,0.065,0.0073,0.0017,0.0309,0.0255,0.1102,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7442,0.4158,0.3946,48100,48100,0.6512
255,California State University-Stanislaus,CA,960,465,455,917,8072,4704,6491,17651,1,7751,0.282,0.0255,0.4496,0.1133,0.0035,0.0072,0.0369,0.0204,0.0615,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8725,0.4286,0.5198,45100,44900,0.563
256,California State University-San Bernardino,CA,549,455,440,888,8558,5417,6550,17710,1,15887,0.1743,0.0729,0.5549,0.0632,0.0025,0.0023,0.0283,0.0555,0.0463,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8879,0.4698,0.4112,46500,45500,0.5046
257,California State Polytechnic University-Pomona,CA,401,555,515,1070,9101,4577,6350,17510,1,20857,0.2159,0.0323,0.3722,0.2501,0.002,0.0028,0.039,0.0425,0.0432,0.524068648,0.163387749,0.138551695,0.082182224,0.091809683,0.8997,0.3883,0.5237,55000,52000,0.4882
258,California State University-Chico,CA,937,515,500,1014,8370,5091,6972,18132,1,15106,0.5255,0.019,0.23,0.0579,0.0061,0.0014,0.0487,0.033,0.0785,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8665,0.452,0.5605,50500,45100,0.5281
259,California State University-Dominguez Hills,CA,524,425,425,845,8202,5563,6100,17260,1,11894,0.0931,0.1703,0.5397,0.0943,0.0019,0.0041,0.0281,0.0246,0.0439,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7926,0.4291,0.2935,45800,42800,0.3877
260,California State University-Fresno,CA,544,470,455,920,8027,3990,6287,17447,1,19911,0.2511,0.0404,0.4258,0.1566,0.0038,0.0025,0.0305,0.0344,0.0549,0.576487252,0.193664692,0.125289724,0.060520216,0.044038115,0.8323,0.3628,0.4859,47200,43200,0.5161
261,California State University-Fullerton,CA,281,525,500,1021,8521,6147,6186,17346,1,33000,0.2556,0.0222,0.375,0.2165,0.002,0.0027,0.0408,0.0445,0.0408,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8853,0.3327,0.5347,49700,46500,0.4622
262,California State University-East Bay,CA,860,460,450,910,8804,6821,6550,17710,1,12079,0.1843,0.1083,0.2546,0.2439,0.0016,0.0111,0.0572,0.0659,0.0732,0.594275492,0.161359571,0.12236136,0.066547406,0.055456172,0.7753,0.3844,0.3808,54800,51300,0.4163
263,California State University-Long Beach,CA,107,525,495,1012,8671,5322,6240,17400,1,30440,0.214,0.0399,0.3672,0.2292,0.0056,0.0042,0.0431,0.0531,0.0437,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8876,0.393,0.6033,50200,46900,0.5029
264,California State University-Los Angeles,CA,815,450,430,871,8767,4287,6344,17504,1,19525,0.0812,0.0465,0.5965,0.1645,0.001,0.0029,0.016,0.0479,0.0435,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8206,0.3924,0.3565,46800,44900,0.4996
265,California State University-Northridge,CA,287,465,455,918,8395,5994,6525,17685,1,33581,0.2575,0.0623,0.4029,0.1123,0.0017,0.0026,0.0335,0.0734,0.0538,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.782,0.3636,0.4575,47500,44200,0.4602
266,California State University-Sacramento,CA,883,485,465,945,8364,5274,6628,17788,1,25991,0.3247,0.0591,0.2567,0.2086,0.0046,0.0093,0.0585,0.0149,0.0636,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8251,0.4153,0.4285,50300,46500,0.4894
267,University of California-Berkeley,CA,41,700,655,1350,14652,16733,12864,35742,1,25951,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0304,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9637,0.3021,0.9103,78600,62700,0.7304
268,University of California-Davis,CA,272,620,575,1192,12065,13500,13895,36773,1,26483,0.3125,0.0211,0.172,0.3551,0.002,0.0048,0.0511,0.0618,0.0196,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9294,0.4467,0.8133,66200,57100,0.8397
269,University of California-Irvine,CA,231,600,530,1122,12839,13713,13149,36027,1,23517,0.1739,0.0187,0.2171,0.4371,0.0016,0.0042,0.0396,0.0894,0.0184,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9175,0.4418,0.8585,61800,55800,0.7884
270,University of California-Los Angeles,CA,56,680,620,1289,15089,15123,12697,35575,1,28667,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0234,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9626,0.374,0.9031,70200,59200,0.7082
271,University of California-Riverside,CA,658,565,525,1078,11324,11937,12960,35838,1,18612,0.1442,0.0487,0.3589,0.3615,0.0016,0.0039,0.0354,0.0315,0.0145,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8898,0.5688,0.6617,52600,48700,0.824
272,University of California-San Diego,CA,175,675,605,1276,13126,13805,13271,36149,1,23792,0.2357,0.0119,0.1581,0.4011,0.0013,0.0041,0.0476,0.1181,0.0222,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.942,0.4731,0.858,69700,59600,0.8344
274,University of California-Santa Barbara,CA,257,625,590,1212,13048,13553,13746,36624,1,19362,0.3965,0.0213,0.2481,0.1763,0.001,0.0007,0.0843,0.0397,0.032,0.44263285,0.178140097,0.149607488,0.094655797,0.134963768,0.9193,0.438,0.807,58900,52000,0.834
275,University of California-Santa Cruz,CA,602,555,540,1087,12110,11066,13397,36275,1,15695,0.368,0.0201,0.3019,0.2047,0.0017,0.0015,0.0698,0.0108,0.0215,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8879,0.5586,0.7267,50100,44600,0.7098
283,California Maritime Academy,CA,1042,550,525,1080,8259,8025,6536,17696,1,1044,0.5785,0.0239,0.1561,0.0824,0.0038,0.0067,0.0852,0.0048,0.0584,0.398058252,0.131067961,0.077669903,0.13592233,0.257281553,0.8214,0.6043,0.5871,83300,81100,0.6629
301,Chapman University,CA,259,615,595,1208,11095,24444,43573,43573,2,5940,0.5978,0.0162,0.1433,0.0981,0.003,0.0024,0.0586,0.038,0.0426,0.287332647,0.110195675,0.139031926,0.159629248,0.303810505,0.9073,0.6536,0.761,52700,51800,1
303,Concordia University-Irvine,CA,1425,505,502,1020,7044,12540,29630,29630,2,1916,0.4937,0.0324,0.1827,0.06,0.0031,0.0031,0.0433,0.035,0.1467,0.333333333,0.134994808,0.17549325,0.131879543,0.224299065,0.7633,0.6231,0.6256,46400,42100,0.3442
304,San Diego Christian College,CA,344,490,505,986,5271,18089,25888,25888,2,889,0.3735,0.1541,0.1541,0.0169,0.0067,0.0101,0.0326,0.0045,0.2475,0.497545008,0.171849427,0.139116203,0.088379705,0.103109656,0.6829,0.8793,0.4125,38000,34400,0.2844
310,Claremont McKenna College,CA,16,715,695,1397,9388,28851,45625,45625,2,1311,0.4386,0.0397,0.1121,0.1083,0,0.0015,0.0778,0.1442,0.0778,0.333333333,0.173076923,0.115384615,0.102564103,0.275641026,0.9622,0.0862,0.9254,80600,63600,0.9195
343,Dominican University of California,CA,1133,535,525,1057,8770,21979,40600,40600,2,1567,0.328,0.0421,0.2253,0.1698,0.0057,0.0102,0.0325,0.0179,0.1685,0.274691358,0.154320988,0.155864198,0.180555556,0.234567901,0.8566,0.8516,0.5387,59100,51400,0.2969
374,Fresno Pacific University,CA,1158,495,495,979,6562,14221,25716,25716,2,2496,0.3842,0.0525,0.4058,0.0405,0.0108,0.0048,0.018,0.0176,0.0657,0.512851897,0.186046512,0.149938801,0.084455324,0.066707466,0.8263,0.6928,0.5412,41600,39700,0.8403
390,Harvey Mudd College,CA,43,760,720,1483,12450,26798,46509,46509,2,803,0.4745,0.0125,0.0909,0.2217,0.0025,0,0.0399,0.1096,0.0486,0.202185792,0.114754098,0.120218579,0.202185792,0.360655738,0.9949,0.4413,0.9082,85000,78600,0.8962
397,Holy Names University,CA,503,455,455,910,7717,17424,33020,33020,2,800,0.1838,0.2138,0.2775,0.1725,0.0063,0.0375,0.0375,0.02,0.0513,0.38671875,0.166015625,0.16015625,0.12109375,0.166015625,0.7398,0.8124,0.3548,55100,50100,0.2392
399,Humboldt State University,CA,1201,500,515,1008,8148,5300,7144,18304,1,7748,0.5021,0.036,0.2657,0.0329,0.0107,0.0026,0.06,0.0084,0.0816,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7756,0.605,0.4004,39500,36200,0.5414
416,Life Pacific College,CA,1043,465,465,930,6394,8619,12500,12500,2,475,0.6105,0.0358,0.2379,0.0547,0.0042,0.0147,0.0232,0.0021,0.0168,0.418772563,0.184115524,0.162454874,0.108303249,0.126353791,0.6279,0.5427,0.5111,35600,31200,0.1875
418,University of La Verne,CA,191,525,505,1035,8605,16881,35000,35000,2,5128,0.2607,0.0626,0.4836,0.054,0.0031,0.0051,0.0322,0.0242,0.0745,0.429069362,0.169048449,0.166608574,0.111537121,0.123736494,0.8795,0.6816,0.5928,56300,52700,0.3026
427,La Sierra University,CA,296,470,455,926,7230,26008,29103,29103,2,2060,0.1607,0.0714,0.4204,0.1553,0.0024,0.0238,0.0437,0.1204,0.0019,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7615,0.6943,0.4918,47800,41300,0.8898
436,The Master's College and Seminary,CA,646,540,555,1104,7063,12657,28800,28800,2,1112,0.6313,0.0378,0.1106,0.0621,0.0045,0.0063,0.0567,0.0414,0.0495,0.317718941,0.154786151,0.193482688,0.158859471,0.17515275,0.8077,0.5335,0.5362,47300,40900,0.2926
442,Loyola Marymount University,CA,442,600,590,1202,10098,29076,40265,40265,2,6087,0.4894,0.0563,0.221,0.1045,0.0025,0.0013,0.0726,0.0524,0,0.288263926,0.097890752,0.147106544,0.114115738,0.35262304,0.9144,0.4747,0.7583,63900,55600,0.5352
470,Menlo College,CA,168,508,482,1001,11564,18300,37100,37100,2,742,0.3585,0.0566,0.2143,0.0714,0.004,0.0216,0.0768,0.128,0.0687,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8155,0.591,0.4076,64300,50600,0.3563
473,Mills College,CA,827,555,590,1151,9759,19608,41494,41494,2,974,0.4702,0.0595,0.2248,0.1181,0.0051,0.0062,0.0903,0.0144,0.0113,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8118,0.7279,0.6142,47700,39000,0.5337
488,Mount St Mary's College,CA,1021,470,465,928,8055,21833,33852,33852,2,2617,0.1024,0.0692,0.5801,0.1632,0.0038,0.0073,0.0233,0.0069,0.0439,0.438552714,0.209606987,0.158452901,0.084217093,0.109170306,0.7923,0.9203,0.6379,56700,50200,0.2806
510,Notre Dame de Namur University,CA,1361,495,490,972,8084,18965,31126,31126,2,1209,0.2647,0.0571,0.3408,0.1199,0.0066,0.0256,0.0438,0.0389,0.1026,0.423850575,0.168103448,0.147988506,0.120689655,0.139367816,0.7692,0.672,0.4792,55400,51300,0.2827
511,Occidental College,CA,231,655,650,1303,10402,24394,46652,46652,2,2101,0.515,0.0447,0.158,0.1285,0.0024,0.0019,0.0909,0.0371,0.0214,0.227915194,0.137809187,0.169611307,0.171378092,0.293286219,0.9302,0.5333,0.8777,55000,50100,0.7273
515,Otis College of Art and Design,CA,289,505,490,1002,6936,27612,39430,39430,2,1029,0.2235,0.034,0.1331,0.3226,0.0058,0.0029,0.0603,0.1846,0.033,0.493403694,0.150395778,0.145118734,0.079155673,0.131926121,0.8087,0.629,0.5731,49700,42000,1
517,Hope International University,CA,298,474,486,951,5232,11581,26050,26050,2,872,0.445,0.078,0.1732,0.0287,0.0034,0.0115,0.1445,0.0057,0.1101,0.427255985,0.160220995,0.167587477,0.119705341,0.125230203,0.7315,0.7576,0.4508,39800,35100,0.9
524,Pacific Union College,CA,369,510,510,1017,6452,16425,27480,27480,2,1601,0.2698,0.0768,0.2698,0.1811,0.005,0.0194,0.0725,0.0162,0.0893,0.34085213,0.160401003,0.164160401,0.147869674,0.186716792,0.8457,0.8453,0.4452,54600,48600,0.9
525,University of the Pacific,CA,982,605,570,1172,10089,29264,39810,39810,2,3869,0.3223,0.0269,0.1858,0.3153,0.0067,0.0047,0.0432,0.0538,0.0414,0.344943068,0.159410583,0.180843938,0.114534494,0.200267917,0.8656,0.6292,0.5669,79100,66400,0.5588
