,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
4205,University of Mary Washington,VA,1220,545,565,1110,7702,7290,9720,22590,1,4303,0.6556,0.0597,0.0693,0.0432,0.0016,0,0.0418,0.0063,0.1225,0.208499336,0.102921647,0.150730412,0.197875166,0.33997344,0.8004,0.421,0.7371,54400,47400,0.6347
4206,Marymount University,VA,1259,510,520,1030,8270,18584,26430,26430,2,2371,0.434,0.1506,0.1497,0.0869,0.0038,0.0051,0.0342,0.0903,0.0456,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7212,0.5773,0.5758,53300,49600,0.4316
4213,Norfolk State University,VA,732,440,440,879,7608,4226,7126,20596,1,5955,0.0502,0.8381,0.0262,0.0049,0.0022,0.0015,0.0291,0.0047,0.0432,0.558530511,0.169676214,0.139165629,0.078767123,0.053860523,0.7203,0.8228,0.3443,37000,34400,1
4215,Old Dominion University,VA,1113,520,510,1016,8729,5958,8550,24210,1,19483,0.5207,0.2588,0.0662,0.0443,0.0043,0.0048,0.0551,0.0123,0.0335,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7956,0.5549,0.5117,47700,43300,0.9663
4221,Radford University,VA,1155,495,495,980,7705,5606,8976,21141,1,8866,0.7786,0.0969,0.0459,0.0144,0.003,0.0025,0.0412,0.0053,0.0122,0.288783412,0.131401449,0.171121659,0.185860605,0.222832875,0.7807,0.5865,0.5853,46900,42100,0.6762
4223,Randolph-Macon College,VA,694,540,540,1082,7406,15833,34850,34850,2,1294,0.7736,0.1012,0.044,0.017,0.0015,0.0008,0.0325,0.0209,0.0085,0.1828125,0.103125,0.15625,0.2046875,0.353125,0.7737,0.7143,0.6224,50700,45700,0.646
4224,Randolph College,VA,1286,535,550,1094,7193,11962,32850,32850,2,651,0.6866,0.086,0.0584,0.0246,0.0061,0.0015,0.0276,0.1091,0,0.220289855,0.142028986,0.185507246,0.205797101,0.246376812,0.75,0.6661,0.5225,42200,38700,0.9863
4229,University of Richmond,VA,110,670,640,1313,10983,23186,45320,45320,2,3107,0.5845,0.0766,0.0705,0.0557,0.0026,0.0003,0.0348,0.0882,0.0869,0.245330013,0.143212951,0.176836862,0.160647572,0.273972603,0.9373,0.4229,0.8502,74800,60800,0.6464
4231,Roanoke College,VA,987,540,545,1086,7327,15220,36597,36597,2,1980,0.8495,0.049,0.0328,0.0141,0.003,0.001,0.0359,0.0146,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8048,0.7034,0.6425,46900,42500,0.7934
4233,Shenandoah University,VA,1311,510,495,1016,7367,15890,29934,29934,2,1859,0.6643,0.1372,0.043,0.0425,0.0194,0.0043,0,0.05,0.0393,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7571,0.5679,0.4559,44100,40600,0.5901
4234,Southern Virginia University,VA,1539,509,515,1015,5949,11560,18900,18900,2,658,0.8571,0.0426,0.0198,0.0167,0.0274,0.0228,0,0.0137,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7054,0.6511,0.3254,40000,28800,1
4250,Sweet Briar College,VA,1306,524,550,1084,6894,18311,33605,33605,2,599,0.7412,0.1018,0.0701,0.0267,0.01,0.0017,0.0234,0.0167,0.0083,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6875,0.4813,0.5693,40700,38600,0.8065
4255,The University of Virginia's College at Wise,VA,1036,475,480,949,6928,6013,8509,23565,1,1585,0.8006,0.1028,0.0196,0.0082,0.0032,0,0.0044,0.0006,0.0606,0.451807229,0.153012048,0.191566265,0.11686747,0.086746988,0.7108,0.4244,0.4314,42400,36500,0.5679
4257,Virginia Intermont College,VA,1498,428,478,928,5068,12358,24642,24642,2,352,0.7727,0.1023,0.0313,0.0057,0.0114,0,0.0057,0.0313,0.0398,0.43956044,0.142857143,0.175824176,0.120879121,0.120879121,0.5256,0.7681,0.4588,37400,34000,0.4211
4258,Virginia Polytechnic Institute and State University,VA,904,630,590,1220,10146,11414,11455,27211,1,23928,0.7182,0.0349,0.0512,0.0848,0.0016,0.0013,0.0403,0.0382,0.0295,0.199531694,0.118748955,0.143167754,0.191169092,0.347382505,0.9119,0.4304,0.8243,63700,57900,0.9812
