"Screen.name","Followers","Friends"
"LeoDiCaprio",14082200,142
"SteveCarell",4607580,48
"MarkRuffalo",2165110,1178
"amyschumer",3452330,1931
"TherealTaraji",3960390,702
"Racheldoesstuff",31996,3341
"IAMQUEENLATIFAH",6890940,458
